Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
GOOG,GOOG,Buy,2008-11-03 16:00:00,0.963595262294,0.963595262294,3.0,346.49,1039.47,10.0,4636.4,5.0,1.0,
AAPL,AAPL,Buy,2008-12-01 16:00:00,0.933158377107,0.933158377107,5.0,88.55,442.75,16.0,3544.72,5.0,0.49,
GOOG,GOOG,Sell,2008-12-01 16:00:00,0.933158377107,0.933158377107,-2.0,265.99,-531.98,8.0,3544.72,5.0,0.49,
AAPL,AAPL,Buy,2009-01-02 16:00:00,0.950008212601,0.950008212601,11.0,90.36,993.96,27.0,4046.32,5.0,0.98,
GOOG,GOOG,Sell,2009-01-02 16:00:00,0.950008212601,0.950008212601,-3.0,321.32,-963.96,5.0,4046.32,5.0,0.98,
AAPL,AAPL,Sell,2009-02-02 16:00:00,0.927259047843,0.927259047843,-5.0,91.12,-455.6,22.0,4048.06,5.0,0.4,
GOOG,GOOG,Buy,2009-02-02 16:00:00,0.927259047843,0.927259047843,1.0,340.57,340.57,6.0,4048.06,5.0,0.4,
AAPL,AAPL,Buy,2009-03-02 16:00:00,0.990781099975,0.990781099975,18.0,87.56,1576.08,40.0,4156.72,5.0,1.44,
GOOG,GOOG,Sell,2009-03-02 16:00:00,0.990781099975,0.990781099975,-4.0,327.16,-1308.64,2.0,4156.72,5.0,1.44,
AAPL,AAPL,Sell,2009-04-01 16:00:00,0.957499816668,0.957499816668,-5.0,108.23,-541.15,35.0,4850.32,5.0,0.45,
GOOG,GOOG,Buy,2009-04-01 16:00:00,0.957499816668,0.957499816668,1.0,354.09,354.09,3.0,4850.32,5.0,0.45,
AAPL,AAPL,Sell,2009-05-01 16:00:00,0.967131116537,0.967131116537,-3.0,126.7,-380.1,32.0,5629.16,5.0,0.39,
GOOG,GOOG,Buy,2009-05-01 16:00:00,0.967131116537,0.967131116537,1.0,393.69,393.69,4.0,5629.16,5.0,0.39,
